Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,,AFE,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,,AFW,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,El mundo árabe,ARB,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Estados pequeos del Caribe,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Europa Central y del Báltico,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,inicial del dividendo demográfico,EAR,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Asia oriental y el Pacífico,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Asia oriental y el Pacífico (excluido altos ingresos),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Asia oriental y el Pacífico (BIRF y la AIF),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Zona del Euro,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Europa y Asia central,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Europa y Asia central (excluido altos ingresos),ECA,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Europa y Asia central (BIRF y la AIF),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Unión Europea,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Frágiles y situaciones de conflicto afectados,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Países pobres muy endeudados (PPME),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Ingreso alto,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Sólo BIRF,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,BIRF y la AIF,IBT,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,mezcla de la AIF,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,Sólo AIF,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Gasto nacional bruto (% del PIB),NE.DAB.TOTL.ZS,total de la AIF,IDA,..,..,..,..,..,..,..,..,..,..,..,..
