PAISES,Gasto_consumo__hogares,EXPORTACIONES,PIB_per_capita_ORD,IDH
Albania,12304239113.4157,31.3,ALTO,0.795
Alemania,2018315146894.11,46.6,MEDIO,0.947
Angola,49904765507.264,39.3,BAJO,0.581
Argelia,74454394337.498,22.7,ALTO,0.748
Argentina,301559939895.071,17.7,ALTO,0.845
Armenia,11363863425.8108,41.4,ALTO,0.776
Australia,762030467744.243,24.2,MEDIO,0.944
Austria,229427736804.313,55.4,MEDIO,0.922
Azerbaiyán,27703411764.7059,49.1,ALTO,0.756
Bahamas,8043600000,35,MEDIO,0.814
Barbados,4081664150,42,MEDIO,0.814
Bélgica,275165043350.588,82.2,MEDIO,0.931
Belice,1235335350,51,ALTO,0.716
Bolivia,27990672648.3357,25,BAJO,0.718
Brasil,1216162507384.99,14.1,ALTO,0.765
Bulgaria,40708721236.4053,63.9,ALTO,0.816
Burundi,2040212669.67951,9.1,BAJO,0.433
Camboya,18818517733.4543,61.1,BAJO,0.594
Camerún,28819907801.6969,19.9,BAJO,0.563
Canadá,1005964483666.1,31.9,MEDIO,0.929
Chad,8608991297.31308,36.7,BAJO,0.398
Chile,176594175135.364,28,ALTO,0.851
China,5604598742472.93,18.4,ALTO,0.761
Chipre,16312481809.0227,75.6,MEDIO,0.887
Colombia,221710251754.464,15.9,ALTO,0.767
Comoras,1122478770.11745,12.8,BAJO,0.554
Croacia,35432801611.5341,50.7,ALTO,0.851
Cuba,5.654e+10,12.2,ALTO,0.783
Dinamarca,161917385854.958,59,MEDIO,0.94
Ecuador,64496521000,23,ALTO,0.759
Eslovenia,28378971006.3764,84,MEDIO,0.917
España,798899550227.45,35,MEDIO,0.904
Estonia,15470804122.0863,74,MEDIO,0.892
Etiopía,65874984850.7532,7.9,BAJO,0.485
Filipinas,275858904833.27,28.4,BAJO,0.718
Finlandia,141144465670.588,39.9,MEDIO,0.938
Francia,1462924811513.72,31.6,MEDIO,0.901
Gabón,6357215923.40816,51.4,ALTO,0.703
Gambia,1567079944.06991,18.9,BAJO,0.496
Georgia,12330578190.9797,54.8,ALTO,0.812
Ghana,51402113888.1435,37.4,BAJO,0.611
Grecia,141727837271.341,40.1,MEDIO,0.888
Guatemala,65364547013.6552,17.6,ALTO,0.663
Guinea,9669237511.15801,30,BAJO,0.592
Guinea,9669237511.15801,30,BAJO,0.477
Honduras,20423374067.1949,39.9,BAJO,0.634
Hungría,80739320855.9829,81.8,MEDIO,0.854
India,1736183338728.01,18.4,BAJO,0.645
Indonesia,648299662793.596,18.4,ALTO,0.718
Irlanda,117083314565.372,127.9,MEDIO,0.955
Islandia,12393694453.8957,44.3,MEDIO,0.949
Israel,214896515726.917,29.5,MEDIO,0.919
Italia,1203222621777.25,31.6,MEDIO,0.892
Jamaica,12061020717.5493,38,ALTO,0.734
Japón,2803593584792.2,17.4,MEDIO,0.919
Jordania,37281389154.9296,36.3,ALTO,0.729
Kirguistán,6773998306.33063,35.2,BAJO,0.697
Kuwait,56325538208.1687,53.3,MEDIO,0.806
Letonia,19950395926.2353,59.8,MEDIO,0.866
Líbano,47683916704.2149,20.4,ALTO,0.744
Lituania,32964971101.6313,77.3,MEDIO,0.882
Luxemburgo,23547057065.0274,205.5,MEDIO,0.916
Madagascar,9999744092.19921,28.4,BAJO,0.528
Malasia,218263850331.925,65.3,ALTO,0.81
Maldivas,2620471531.66038,69.4,ALTO,0.74
Malí,12782776915.0946,25.7,BAJO,0.434
Malta,6949453287.50796,143.1,MEDIO,0.895
Marruecos,68695552713.3959,39.3,BAJO,0.686
Mauricio,10657166617.3341,38.5,ALTO,0.804
Mauritania,4348538203.03727,39.2,BAJO,0.546
México,823720581044.042,38.8,ALTO,0.779
Mongolia,8134879139.81739,59.2,ALTO,0.737
Montenegro,3956117330.94492,43.8,ALTO,0.829
Mozambique,10204256809.9728,40.8,BAJO,0.456
Namibia,8701999986.15764,36.4,ALTO,0.646
Nepal,26179605391.3038,7.8,BAJO,0.602
Nicaragua,8976350851.55653,45,BAJO,0.66
Níger,8865851770.32007,11.4,BAJO,0.394
Nigeria,334271540337.231,14.2,BAJO,0.539
Noruega,179441022727.273,36.3,MEDIO,0.957
Omán,33039271781.5345,49.5,MEDIO,0.813
Pakistán,231148897914.085,10.1,BAJO,0.557
Panamá,35071722213.638,41.2,MEDIO,0.815
Paraguay,24758681929.1152,36.2,ALTO,0.728
Perú,147853054864.711,23.9,ALTO,0.777
Polonia,343444548627.39,55.4,MEDIO,0.88
Portugal,153730902297.608,43.5,MEDIO,0.864
Senegal,15967679391.58,24.3,BAJO,0.512
Serbia,35145605303.9632,51,ALTO,0.806
Seychelles,954287953.824776,83.5,MEDIO,0.796
Singapur,133444876117.871,175.9,MEDIO,0.938
Sudáfrica,247553356662.329,27.3,ALTO,0.709
Sudán,10169009901.0695,0.6,BAJO,0.433
Sudán,10169009901.0695,0.6,BAJO,0.51
Suecia,239916814236.17,47.8,MEDIO,0.945
Suiza,378281065633.569,65.5,MEDIO,0.955
Tailandia,270744598616.318,59.5,ALTO,0.777
Tayikistán,6328664064.46739,15,BAJO,0.668
Togo,5343084956.58897,23.1,BAJO,0.515
Tonga,489281350.41155,22,ALTO,0.725
Turquía,432888453593.711,32.6,ALTO,0.82
Ucrania,114453485312.781,41.2,ALTO,0.779
Uganda,25162529146.6128,17.1,BAJO,0.544
Uzbekistán,35512181321.5493,28.4,BAJO,0.72
Zambia,9847672614.42979,34.6,BAJO,0.584
