Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,AFE,724.753274587965,713.24592105476893,1736.1665598630466,1713.899298661835,1703.5962983888485,1549.0379403764218,1431.7787234041966,1573.0633858100093,1574.978647753167,1530.0591765509373,1359.6182241852578,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,AFW,594.72600919977037,525.4503429234428,1965.1184848087332,2157.4811486297413,2212.8531346630671,1894.3101949536019,1673.8355268546352,1613.4735530342891,1704.1396025898996,1777.9186715263372,1710.0733633562668,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,El mundo árabe,ARB,2796.6999767796792,2890.2276736306826,7378.2318898029716,7373.2016784286534,7300.0302194305241,6220.7166360023111,5969.61659266763,5987.3419570747965,6504.1484927502734,6489.0432159631673,5612.6865695278229,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Estados pequeos del Caribe,CSS,2997.3195630245823,5253.4420832139476,10187.301392944979,10296.5275947938,10381.475531393007,10141.415393820129,9574.221486119166,9800.9658864734483,10234.211179124379,10291.807319024076,8873.5219288372919,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Europa Central y del Báltico,CEB,2314.6887812076461,3949.4319704606623,13020.743817385441,13718.183999152439,14164.074448906045,12522.661057036314,12831.409936811238,14254.738101900724,16047.27969992149,16346.561805639598,16180.967920213621,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,inicial del dividendo demográfico,EAR,909.57569389142043,1367.8277028937264,3371.75928115066,3375.2466991230813,3443.0187215838896,3229.2990114766162,3257.3919152248059,3473.4628607270974,3452.3785846558771,3503.4397328542746,3201.6542612039011,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Asia oriental y el Pacífico,EAS,2599.8158312122737,4089.23780527948,9432.5131499249037,9463.4869731702,9686.8835046614186,9579.4743713549215,9845.9141746703281,10442.859498697962,11297.706047417247,11477.761048769162,11477.491728373769,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Asia oriental y el Pacífico (excluido altos ingresos),EAP,415.71915000794809,954.90177779509065,5365.2371770916407,5870.7913581499106,6277.7334933909478,6488.6669682598185,6575.5141203430021,7131.63134907767,7924.2343008457392,8145.345437248805,8254.6708710242838,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Asia oriental y el Pacífico (BIRF y la AIF),TEA,420.45228147647839,965.756345421682,5425.766592523878,5936.8057647185615,6348.1097547024829,6561.1910058679805,6648.812448154531,7210.9169943835823,8012.1497104958371,8235.5836767818728,8346.0388104579415,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Zona del Euro,EMU,18893.008030376335,20215.634044693576,37595.877091729162,39120.333344785031,39912.442318902242,34388.283781677783,35163.628780486215,37153.650334129386,40057.690748844194,39188.490790038493,37994.5479627092,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Europa y Asia central,ECS,10519.265028217627,11683.483765567296,25132.477297911682,26147.643556087944,26388.161511991471,22624.86511217503,22455.0718373821,23704.238013662391,25297.600676014561,24906.40229442585,23963.336340770355,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Europa y Asia central (excluido altos ingresos),ECA,2401.6343069050713,1787.9284193605706,10149.012975098112,10717.66035843039,9927.5582774142986,7557.4996953273412,7189.2864598437,8026.77331662083,8213.3600661872733,8343.5504311051773,7668.9956402278231,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Europa y Asia central (BIRF y la AIF),TEC,2366.8539008130197,2059.0621351876766,10432.471272776149,11000.655663858386,10330.791925470985,8019.8938455648049,7677.4004687813558,8562.5074004124072,8876.1539640287356,9013.79564853992,8388.7895697329714,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Unión Europea,EUU,15454.962986443008,16947.624856575232,33158.892143728823,34578.051928053639,35286.117377877163,30485.028806720286,31186.63011366759,33093.7723841644,35752.22537873203,35083.707615340965,34173.487262893563,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Frágiles y situaciones de conflicto afectados,FCS,1023.1433275638797,875.75382309749114,2249.2968163178211,2281.1409268820703,2414.4182065127334,1878.7134076663174,1656.7359708581805,1657.3409253211357,1770.2310580957155,1828.6493376882195,1622.1912383606852,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Países pobres muy endeudados (PPME),HPC,394.10553881446555,373.99404051663186,877.22978106763094,957.30262988486811,984.871839586312,919.2472642775931,905.34377105625106,948.73899830387393,984.8605238113887,985.186283834948,968.69049980590592,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Ingreso alto,HIC,18902.332500502118,25777.489743279992,42142.99677323275,42403.843824080774,43081.219202129934,40478.267357656667,41119.299269599185,42780.59124783954,45246.899691020757,45459.903821335982,43934.548697209415,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Sólo BIRF,IBD,1022.9697031097855,1467.3577347836731,5574.1137225534858,5827.1016288950113,5963.1506006350155,5534.6785662404172,5526.6538848858463,6042.9814925971668,6366.562672848323,6461.3345446003023,6149.4628861146693,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,BIRF y la AIF,IBT,905.74940670604974,1260.6925592589523,4532.1691927411357,4733.5634752058613,4841.1219099386026,4494.16437544161,4461.2465300474605,4840.4653315496889,5080.8757485764881,5144.345337562544,4891.147627245804,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,mezcla de la AIF,IDB,525.31773317348893,573.904410563912,1882.6058610737794,1997.3686045597769,2093.658472477448,1972.0770868691773,1795.2124506445939,1723.1648862087063,1759.4963646831163,1777.8510688371362,1674.9178706588521,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,Sólo AIF,IDX,362.56368487302638,459.53719012308625,910.29996823113788,970.94169776296735,1013.4902069186564,990.84573940927817,979.68754478120923,1037.6895868034715,1088.0724738451333,1118.8539565354492,1126.9294325336621,..
PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,total de la AIF,IDA,417.02198734709168,496.81874612024689,1235.8922170823607,1315.0194533943591,1375.9443512287041,1320.3670910427943,1253.7144362100867,1268.0899534919906,1313.7741200428454,1340.3634594287525,1310.6728168064417,..
