"Data Source,""Indicadores del desarrollo mundial"","

"Last Updated Date,""2022-05-25"","

"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"Aruba,""ABW"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""666480446.927374"",""737430167.597765"",""763687150.837989"",""837988826.815642"",""894972067.039106"",""925139664.804469"",""956424581.005587"",""1017318435.75419"",""1087709497.2067"",""1148603351.95531"",""1228491620.11173"",""1320111731.84358"",""1476536312.84916"",""1517318435.75419"",""1420111731.84358"",""1445251396.64804"",""1567597765.36313"",""1582681564.24581"",""1603307262.56983"",""1629740588.02526"",""1639471893.43134"",""1627165701.13664"",""1704985835.26113"",""1783360155.83455"","""","""","""","
",""AFE"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""134527446184.403"",""139172756457.123"",""141695761480.16"",""152302778648.637"",""163485763423.189"",""186310351394.216"",""181917855795.432"",""194921449924.454"",""186309117786.124"",""182665914348.493"",""196111045212.333"",""174285176909.103"",""174002019354.908"",""229866846466.04"",""286333027539.423"",""329392190025.868"",""361479006614.694"",""409390533049.314"",""425077300861.891"",""447977240392.012"",""528520381307.898"",""583412156875.993"",""604411899266.99"",""611606825208.989"",""615482993494.269"",""584770782944.801"",""563994849801.708"",""630112848729.389"",""658180098549.903"",""660582761153.706"",""603617526844.441"","""","
"Afganistán,""AFG"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"",""466666655.555556"",""477777737.777778"",""466666655.555556"",""702222244.444444"",""762222182.222222"",""995555555.555556"",""1422222222.22222"",""1711111100"",""1371111151.11111"",""1386666666.66667"",""1691108966.66667"",""1826664357.77778"",""1544444495.55556"",""1637777771.11111"",""1984444462.22222"",""2173333413.33333"",""2248888957.77778"",""2680000057.77778"",""2942222153.33333"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
",""AFW"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""44412429234.978"",""43855049065.4599"",""45449929077.1541"",""50764796604.1389"",""61177094078.3058"",""56615746214.68"",""59812677440.262"",""63432682865.7067"",""51744190854.6765"",""62556237362.0363"",""63497239334.4231"",""68252932223.2755"",""60087532965.6063"",""49934921325.5422"",""63837868478.8074"",""72564216830.4284"",""71670816965.3994"",""77633329466.2535"",""78445661288.016"",""69431378285.9259"",""89368808133.3836"",""113450965699.774"",""129952080693.24"",""153359246008.639"",""187322129004.184"",""218519726196.002"",""305157242344.31"",""350138110885.215"",""341543507712.778"",""393419358548.33"",""436148881635.175"",""437383696477.935"",""575297856263.108"",""595305505340.651"",""567486637539.401"",""524752660620.214"",""511979630497.588"",""535899596036.588"",""570133620343.968"",""542351277726.873"","""","
"Angola,""AGO"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3923830541.43867"",""6344721595.58192"",""7651123296.55807"",""9800829289.43015"",""11813247268.5009"",""15215079117.2119"",""20220191093.0161"",""25495565974.6193"",""29678121205.3217"",""29998335860.5614"",""37988814786.4263"",""45343032164.7044"",""51338441412.6647"",""64793469847.1248"",""61285178783.7319"",""56655442161.7486"",""69833448902.4567"",""57124166977.8455"",""49904765507.264"",""36972850218.6218"","""","
"Albania,""ALB"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1169370651.42459"",""1182331059.46525"",""1309162500"",""1337825025"",""1370649987.5"",""1453374975"",""1271486850"",""1036054826.38889"",""1079374622.9967"",""1468051508.63442"",""1903197900.5171"",""2191517724.85774"",""3012059935.55913"",""2211624062.71302"",""2408897459.64541"",""2779678711.07893"",""2879464404.75529"",""3067457190.58889"",""3479962651.11555"",""4507739241.09534"",""5547252085.79671"",""6195704128.25435"",""6905405419.18017"",""8730518457.24605"",""10703597609.3813"",""9734057430.08125"",""9316040339.93767"",""10093395760.775"",""9605387478.02359"",""10224729249.3934"",""10686670458.8548"",""9188591294.02033"",""9602953219.08291"",""10364721578.5055"",""11989896767.4545"",""12304239113.4156"",""12337925816.8431"","""","
"Andorra,""AND"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"El mundo árabe,""ARB"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""",""20989039045.8914"",""22758264056.6373"",""26078498582.149"",""28726293701.6282"",""32920521492.7244"",""37928659734.741"",""47859194310.5806"",""64539570385.1155"",""76323116708.0797"",""101488014120.045"",""117312711673.544"",""145837926287.712"",""173560154292.906"",""193391040877.946"",""218371568836.414"",""226019566012.548"",""239134656028.885"",""251577861227.439"",""263298767981.126"",""286163498123.595"",""268757201467.207"",""298413920804.597"",""357180903466.608"",""258243762959.823"",""272651411715.215"",""295423229458.744"",""308567507868.414"",""336396477931.452"",""365455616861.496"",""386719079806.088"",""396141727828.715"",""405293065546.026"",""407427135795.866"",""410684969612.529"",""417079197186.8"",""444009603757.168"",""503679099646.402"",""571681341492.556"",""665258380913.922"",""810045788253.449"",""981167943800.087"",""990805280407.443"",""1043928315528.83"",""999168558799.219"",""1082671903170.99"",""1132291232090.22"",""1217672844049.22"",""1212525198268.76"",""1235061917822.57"",""1213372237156.67"",""1269155846358.7"",""1325832381995"",""1368937483669.4"","""","
"Emiratos Árabes Unidos,""ARE"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""61087656609.9387"",""67397163131.3819"",""72834474935.3302"",""89820739523.4854"",""101764918093.941"",""124444700830.497"",""155001863144.997"",""184183067283.867"",""132573846752.893"",""122407762722.941"",""134648842777.4"",""120397631640.572"",""132394564084.411"",""146219333369.639"",""126824783989.108"",""129233917685.5"",""143857529503.063"",""161715988645.337"",""163818997113.016"","""","""","
"Argentina,""ARG"",""Gasto de consumo final de los hogares (US$ a precios actuales)"",""NE.CON.PRVT.CD"","""","""",""16395100920.6536"",""13112305455.0693"",""17583550655.2055"",""19106470077.1627"",""19179524090.076"",""16142121567.5792"",""17818286029.1255"",""20788000652.075"",""20514474652.8526"",""22087199393.1043"",""23061625752.1497"",""34502333869.7978"",""46339887781.9045"",""30479729906.697"",""28960251673.5518"",""32792999466.8785"",""33769836090.145"",""43597131259.9852"","""","""","""","""","""","""","""",""83810953046.2784"",""93037499273.339"",""56337114317.025"",""109038330772.079"",""152618772836.917"",""187278415202.907"",""163839382682.683"",""180006952200"",""176908603000"",""186487153500"",""203028516700"",""206433800000"",""198869454200"",""197044177500"",""185164262200"",""60489618364.2844"",""80632168516.4444"",""105926917928.179"",""125262782955.786"",""147139416222.713"",""179796371906.655"",""228051225933.264"",""209702422221.036"",""272113324478.662"",""340472562735.7"",""354361120355.997"",""364267951166.433"",""344124011884.784"",""391974496653.948"",""366420165961.974"",""429555024995.925"",""364593232087.56"",""301559939895.071"",""247274509430.675"","""","
