...1,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,...12,2020,2021
,23.1,26.0,30.2,29.4,28.4,23.9,23.7,23.6,25.5,24.1,,22.6,..
,25.4,36.2,34.0,23.7,23.4,17.5,16.9,20.8,22.5,21.6,,17.0,..
El mundo árabe,..,..,55.6,53.9,50.2,42.3,39.4,44.2,47.2,44.9,,..,..
Estados pequeos del Caribe,..,..,..,..,..,..,..,..,..,..,,..,..
Europa Central y del Báltico,..,38.6,59.0,60.2,61.5,62.0,63.0,64.4,64.3,63.1,,60.7,..
inicial del dividendo demográfico,20.1,25.1,28.8,28.3,26.6,23.7,23.0,24.0,26.3,25.2,,23.0,..
Asia oriental y el Pacífico,17.8,23.6,31.9,32.4,32.4,30.3,28.2,29.2,29.2,28.0,,26.6,..
Asia oriental y el Pacífico (excluido altos ingresos),23.4,33.3,29.5,28.4,27.4,25.1,23.5,23.9,23.4,22.5,,21.9,..
Asia oriental y el Pacífico (BIRF y la AIF),23.4,33.2,29.5,28.4,27.4,25.1,23.5,23.9,23.4,22.5,,21.9,..
Zona del Euro,24.9,35.1,43.7,43.9,44.5,46.0,45.5,47.2,48.0,48.1,,45.4,..
Europa y Asia central,25.3,34.4,41.0,40.9,41.2,42.0,42.0,43.5,45.0,44.9,,42.2,..
Europa y Asia central (excluido altos ingresos),19.8,33.6,30.7,29.3,30.4,30.2,28.8,30.4,34.7,33.5,,30.0,..
Europa y Asia central (BIRF y la AIF),21.3,32.4,32.3,31.2,32.6,32.9,32.2,33.9,37.9,36.9,,34.2,..
Unión Europea,25.5,35.7,44.8,45.0,45.7,47.1,46.7,48.4,49.2,49.3,,46.6,..
Frágiles y situaciones de conflicto afectados,18.5,34.9,32.4,26.8,23.1,18.5,17.3,21.3,25.7,24.0,,18.7,..
Países pobres muy endeudados (PPME),17.2,20.6,28.0,25.8,24.8,21.9,21.4,22.4,23.7,23.4,,21.0,..
Ingreso alto,19.0,23.0,32.0,32.5,32.6,30.9,30.0,31.2,32.0,31.1,,28.8,..
Sólo BIRF,18.7,26.2,28.0,27.3,26.4,24.9,23.8,24.4,25.5,24.5,,23.7,..
BIRF y la AIF,18.6,26.1,27.8,26.9,26.0,24.4,23.3,24.0,25.1,24.2,,23.3,..
mezcla de la AIF,21.5,26.4,26.6,19.1,18.7,13.1,11.7,13.8,15.9,16.1,,12.4,..
Sólo AIF,16.7,25.1,24.0,23.2,23.2,21.1,21.0,21.5,22.4,22.4,,20.1,..
total de la AIF,19.0,25.6,25.2,21.1,20.8,17.1,16.6,18.0,19.5,19.6,,16.9,..
avanzada del dividendo demográfico,22.0,31.8,32.0,31.2,30.6,29.6,28.2,28.5,29.0,28.3,,27.9,..
América Latina y el Caribe,18.1,20.8,22.1,21.5,20.7,21.9,22.2,22.0,24.1,24.2,,25.1,..
América Latina y el Caribe (excluido altos ingresos),14.5,18.1,20.2,19.7,19.3,20.4,20.7,20.6,23.0,23.2,,24.1,..
América Latina y el Caribe (BIRF y la AIF),16.0,19.4,21.3,20.7,19.9,20.9,21.3,21.2,23.5,23.7,,24.9,..
Países menos desarrollados: clasificación de las Naciones Unidas,..,19.0,27.2,26.2,25.1,20.2,19.8,20.4,22.4,21.8,,19.6,..
